,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
265,265,Shastri Bhawan S.O,110001,DELHI,Central Delhi,New Delhi,28.6749206,77.1794302
266,266,South Avenue S.O,110011,DELHI,Central Delhi,New Delhi,28.5086497,77.2175223
267,267,Supreme Court S.O,110001,DELHI,Central Delhi,New Delhi,29.3201526,76.3333662
268,268,Swami Ram Tirth Nagar S.O,110055,DELHI,Central Delhi,New Delhi,0,0
269,269,Udyog Bhawan S.O,110011,DELHI,Central Delhi,New Delhi,28.5106418,77.0856713
270,270,Union Public Service Commission S.O,110069,DELHI,Central Delhi,New Delhi,32.4587742,-91.5025501
271,271,New Delhi G.P.O. ,110001,DELHI,New Delhi,New Delhi,28.6139391,77.2090212
272,272,Abul Fazal Enclave-I S.O,110025,DELHI,South Delhi,,0,0
273,273,Air Force Station Tugalkabad S.O,110062,DELHI,South Delhi,New Delhi,28.6216638,77.2115493
274,274,Alaknanda S.O,110019,DELHI,South Delhi,New Delhi,28.5304408,77.2505733
275,275,Ali B.O,110076,DELHI,South Delhi,New Delhi,28.5166081,77.3090827
276,276,Aliganj S.O (South Delhi),110003,DELHI,South Delhi,New Delhi,28.5762179,77.2229116
277,277,Amar Colony S.O,110024,DELHI,South Delhi,New Delhi,28.6685845,77.3250743
278,278,Andrewsganj S.O,110049,DELHI,South Delhi,New Delhi,28.5626799,77.2275823
279,279,Badarpur S.O (South Delhi),110044,DELHI,South Delhi,New Delhi,28.5039606,77.3018279
280,280,BSF Camp Tigri S.O,110062,DELHI,South Delhi,New Delhi,28.5543792,77.0062664
281,281,BTPS S.O (South Delhi),110044,DELHI,South Delhi,New Delhi,0,0
282,282,C G O Complex S.O,110003,DELHI,South Delhi,New Delhi,28.5688126,77.1603796
283,283,C R R I S.O (South Delhi),110020,DELHI,South Delhi,New Delhi,28.5688126,77.1603796
284,284,Chittranjan Park S.O,110019,DELHI,South Delhi,New Delhi,28.5384802,77.2444369
285,285,Dakshinpuri Phase-I S.O,110062,DELHI,South Delhi,New Delhi,28.5207415,77.2390784
286,286,Dakshinpuri Phase-II S.O,110062,DELHI,South Delhi,New Delhi,28.5207415,77.2390784
287,287,Dakshinpuri Phase-III S.O,110062,DELHI,South Delhi,New Delhi,28.5207415,77.2390784
288,288,Dargah Sharif S.O,110013,DELHI,South Delhi,New Delhi,28.6300149,77.1105371
289,289,Defence Colony S.O (South Delhi),110024,DELHI,South Delhi,New Delhi,28.5769521,77.2384772
290,290,Deoli B.O,110062,DELHI,South Delhi,New Delhi,28.5019207,77.2297379
291,291,"Distt. Court Complex, Saket S.O",110017,DELHI,South Delhi,,0,0
292,292,Dr. Ambedkar Nagar S.O (South Delhi),110062,DELHI,South Delhi,New Delhi,0,0
293,293,East Of Kailash Phase-I S.O,110065,DELHI,South Delhi,New Delhi,28.6195591,77.2979782
294,294,East Of Kailash S.O,110065,DELHI,South Delhi,New Delhi,28.6195591,77.2979782
295,295,F F C Okhla S.O,110020,DELHI,New Delhi,New Delhi,28.6696297,77.2518081
296,296,Gautam Nagar S.O,110049,DELHI,South Delhi,New Delhi,28.6710413,77.299802
297,297,Golf Links S.O,110003,DELHI,South Delhi,New Delhi,28.577213,77.3593705
298,298,Greater Kailash S.O,110048,DELHI,South Delhi,New Delhi,28.4342529,77.518229
299,299,Gulmohar Park S.O,110049,DELHI,South Delhi,New Delhi,28.7006192,77.2214895
300,300,Hamdard Nagar S.O,110062,DELHI,South Delhi,New Delhi,28.6522779,77.2236742
301,301,Hari Nagar Ashram S.O,110014,DELHI,South Delhi,New Delhi,28.6440703,77.2147511
302,302,Hazrat Nizamuddin S.O,110013,DELHI,South Delhi,New Delhi,28.5889199,77.2534471
303,303,Jaitpur B.O,110044,DELHI,South Delhi,New Delhi,28.5089664,77.3202814
304,304,Jaitpur S.O (South Delhi),110044,DELHI,South Delhi,,28.5089664,77.3202814
305,305,Jamia Nagar S.O,110025,DELHI,South Delhi,New Delhi,28.5609109,77.2798812
306,306,Jeevan Nagar B.O,110014,DELHI,South Delhi,New Delhi,0,0
307,307,Jungpura S.O,110014,DELHI,South Delhi,New Delhi,0,0
308,308,Kailash Colony S.O,110048,DELHI,South Delhi,New Delhi,28.6295369,77.2223563
309,309,Kalkaji H.O,110019,DELHI,South Delhi,New Delhi,28.5374198,77.2597274
310,310,Kasturba Nagar S.O (South Delhi),110003,DELHI,South Delhi,New Delhi,28.6497184,77.2365446
311,311,Khanpur S.O (South Delhi),110062,DELHI,South Delhi,New Delhi,28.5093102,77.2309277
